,taxon,Sample_ID,count,Level,Strain,Genotype,Age
1,Nocardioidaceae,X20_AKF_8733_2,0,Family,AJ,KO,20 Weeks
2,Nocardioidaceae,X20_AKF_8738_1,0,Family,AJ,KO,20 Weeks
3,Nocardioidaceae,X20_AKF_8738_2,0,Family,AJ,KO,20 Weeks
4,Nocardioidaceae,X20_AKF_8802_1,0,Family,AJ,KO,20 Weeks
5,Nocardioidaceae,X20_AKF_8802_2,0,Family,AJ,KO,20 Weeks
6,Nocardioidaceae,X20_AKM_8768_1,0,Family,AJ,KO,20 Weeks
7,Nocardioidaceae,X20_AKM_8768_2,0,Family,AJ,KO,20 Weeks
8,Nocardioidaceae,X20_AKM_8769_1,0,Family,AJ,KO,20 Weeks
9,Nocardioidaceae,X20_AKM_8769_2,0,Family,AJ,KO,20 Weeks
10,Nocardioidaceae,X20_AKM_8771_1,0,Family,AJ,KO,20 Weeks
11,Nocardioidaceae,X20_AKM_8771_2,0,Family,AJ,KO,20 Weeks
12,Nocardioidaceae,X20_AWF_8736_1,0,Family,AJ,WT,20 Weeks
13,Nocardioidaceae,X20_AWF_8736_2,1,Family,AJ,WT,20 Weeks
14,Nocardioidaceae,X20_AWF_8797_1,0,Family,AJ,WT,20 Weeks
15,Nocardioidaceae,X20_AWF_8797_2,0,Family,AJ,WT,20 Weeks
16,Nocardioidaceae,X20_AWF_9005_1,0,Family,AJ,WT,20 Weeks
17,Nocardioidaceae,X20_AWF_9005_2,0,Family,AJ,WT,20 Weeks
18,Nocardioidaceae,X20_AWM_8728_1,0,Family,AJ,WT,20 Weeks
19,Nocardioidaceae,X20_AWM_8728_2,0,Family,AJ,WT,20 Weeks
20,Nocardioidaceae,X20_AWM_8730_1,0,Family,AJ,WT,20 Weeks
21,Nocardioidaceae,X20_AWM_8730_2,0,Family,AJ,WT,20 Weeks
22,Nocardioidaceae,X20_AWM_8766_1,0,Family,AJ,WT,20 Weeks
23,Nocardioidaceae,X20_AWM_8766_2,0,Family,AJ,WT,20 Weeks
24,Nocardioidaceae,X20_BKF_8726_1,0,Family,B6,KO,20 Weeks
25,Nocardioidaceae,X20_BKF_8726_2,0,Family,B6,KO,20 Weeks
26,Nocardioidaceae,X20_BKF_8926_1,0,Family,B6,KO,20 Weeks
27,Nocardioidaceae,X20_BKF_8926_2,1,Family,B6,KO,20 Weeks
28,Nocardioidaceae,X20_BKF_8927_1,0,Family,B6,KO,20 Weeks
29,Nocardioidaceae,X20_BKF_8927_2,0,Family,B6,KO,20 Weeks
30,Nocardioidaceae,X20_BKM_8719_1,0,Family,B6,KO,20 Weeks
31,Nocardioidaceae,X20_BKM_8719_2,0,Family,B6,KO,20 Weeks
32,Nocardioidaceae,X20_BKM_8859_1,0,Family,B6,KO,20 Weeks
33,Nocardioidaceae,X20_BKM_8859_2,0,Family,B6,KO,20 Weeks
34,Nocardioidaceae,X20_BKM_8860_1,0,Family,B6,KO,20 Weeks
35,Nocardioidaceae,X20_BKM_8860_2,0,Family,B6,KO,20 Weeks
36,Nocardioidaceae,X20_BWF_8754_1,0,Family,B6,WT,20 Weeks
37,Nocardioidaceae,X20_BWF_8754_2,0,Family,B6,WT,20 Weeks
38,Nocardioidaceae,X20_BWF_8755_1,0,Family,B6,WT,20 Weeks
39,Nocardioidaceae,X20_BWF_8755_2,0,Family,B6,WT,20 Weeks
40,Nocardioidaceae,X20_BWF_8852_1,0,Family,B6,WT,20 Weeks
41,Nocardioidaceae,X20_BWF_8852_2,0,Family,B6,WT,20 Weeks
42,Nocardioidaceae,X20_BWM_8745_1,0,Family,B6,WT,20 Weeks
43,Nocardioidaceae,X20_BWM_8745_2,0,Family,B6,WT,20 Weeks
44,Nocardioidaceae,X20_BWM_8747_1,0,Family,B6,WT,20 Weeks
45,Nocardioidaceae,X20_BWM_8747_2,0,Family,B6,WT,20 Weeks
46,Nocardioidaceae,X20_BWM_8847_1,0,Family,B6,WT,20 Weeks
47,Nocardioidaceae,X20_BWM_8847_2,0,Family,B6,WT,20 Weeks
48,Nocardioidaceae,X8_AKF_8733_1,0,Family,AJ,KO,8 Weeks
49,Nocardioidaceae,X8_AKF_8733_2,0,Family,AJ,KO,8 Weeks
50,Nocardioidaceae,X8_AKF_8738_1,0,Family,AJ,KO,8 Weeks
51,Nocardioidaceae,X8_AKF_8738_2,0,Family,AJ,KO,8 Weeks
52,Nocardioidaceae,X8_AKF_8802_1,0,Family,AJ,KO,8 Weeks
53,Nocardioidaceae,X8_AKM_8768_1,0,Family,AJ,KO,8 Weeks
54,Nocardioidaceae,X8_AKM_8768_2,0,Family,AJ,KO,8 Weeks
55,Nocardioidaceae,X8_AKM_8769_1,0,Family,AJ,KO,8 Weeks
56,Nocardioidaceae,X8_AKM_8769_2,1,Family,AJ,KO,8 Weeks
57,Nocardioidaceae,X8_AKM_8771_1,0,Family,AJ,KO,8 Weeks
58,Nocardioidaceae,X8_AKM_8771_2,0,Family,AJ,KO,8 Weeks
59,Nocardioidaceae,X8_AWF_8736_1,0,Family,AJ,WT,8 Weeks
60,Nocardioidaceae,X8_AWF_8736_2,0,Family,AJ,WT,8 Weeks
61,Nocardioidaceae,X8_AWF_8797_1,0,Family,AJ,WT,8 Weeks
62,Nocardioidaceae,X8_AWF_9005_1,0,Family,AJ,WT,8 Weeks
63,Nocardioidaceae,X8_AWF_9005_2,0,Family,AJ,WT,8 Weeks
64,Nocardioidaceae,X8_AWM_8728_1,0,Family,AJ,WT,8 Weeks
65,Nocardioidaceae,X8_AWM_8728_2,0,Family,AJ,WT,8 Weeks
66,Nocardioidaceae,X8_AWM_8730_1,0,Family,AJ,WT,8 Weeks
67,Nocardioidaceae,X8_AWM_8730_2,0,Family,AJ,WT,8 Weeks
68,Nocardioidaceae,X8_AWM_8766_1,0,Family,AJ,WT,8 Weeks
69,Nocardioidaceae,X8_AWM_8766_2,0,Family,AJ,WT,8 Weeks
70,Nocardioidaceae,X8_BKF_8726_1,0,Family,B6,KO,8 Weeks
71,Nocardioidaceae,X8_BKF_8726_2,0,Family,B6,KO,8 Weeks
72,Nocardioidaceae,X8_BKF_8926_1,0,Family,B6,KO,8 Weeks
73,Nocardioidaceae,X8_BKF_8926_2,0,Family,B6,KO,8 Weeks
74,Nocardioidaceae,X8_BKF_8927_1,0,Family,B6,KO,8 Weeks
75,Nocardioidaceae,X8_BKM_8719_1,0,Family,B6,KO,8 Weeks
76,Nocardioidaceae,X8_BKM_8719_2,0,Family,B6,KO,8 Weeks
77,Nocardioidaceae,X8_BKM_8859_1,0,Family,B6,KO,8 Weeks
78,Nocardioidaceae,X8_BKM_8859_2,0,Family,B6,KO,8 Weeks
79,Nocardioidaceae,X8_BKM_8860_1,0,Family,B6,KO,8 Weeks
80,Nocardioidaceae,X8_BKM_8860_2,0,Family,B6,KO,8 Weeks
81,Nocardioidaceae,X8_BWF_8754_1,0,Family,B6,WT,8 Weeks
82,Nocardioidaceae,X8_BWF_8754_2,0,Family,B6,WT,8 Weeks
83,Nocardioidaceae,X8_BWF_8755_1,0,Family,B6,WT,8 Weeks
84,Nocardioidaceae,X8_BWF_8852_1,0,Family,B6,WT,8 Weeks
85,Nocardioidaceae,X8_BWF_8852_2,0,Family,B6,WT,8 Weeks
86,Nocardioidaceae,X8_BWM_8745_1,0,Family,B6,WT,8 Weeks
87,Nocardioidaceae,X8_BWM_8745_2,0,Family,B6,WT,8 Weeks
88,Nocardioidaceae,X8_BWM_8747_1,0,Family,B6,WT,8 Weeks
89,Nocardioidaceae,X8_BWM_8747_2,0,Family,B6,WT,8 Weeks
90,Nocardioidaceae,X8_BWM_8847_1,0,Family,B6,WT,8 Weeks
91,Nocardioidaceae,X8_BWM_8847_2,0,Family,B6,WT,8 Weeks
92,Bacteroidaceae,X20_AKF_8733_2,1066,Family,AJ,KO,20 Weeks
93,Bacteroidaceae,X20_AKF_8738_1,719,Family,AJ,KO,20 Weeks
94,Bacteroidaceae,X20_AKF_8738_2,551,Family,AJ,KO,20 Weeks
95,Bacteroidaceae,X20_AKF_8802_1,881,Family,AJ,KO,20 Weeks
96,Bacteroidaceae,X20_AKF_8802_2,651,Family,AJ,KO,20 Weeks
97,Bacteroidaceae,X20_AKM_8768_1,814,Family,AJ,KO,20 Weeks
98,Bacteroidaceae,X20_AKM_8768_2,745,Family,AJ,KO,20 Weeks
99,Bacteroidaceae,X20_AKM_8769_1,1169,Family,AJ,KO,20 Weeks
100,Bacteroidaceae,X20_AKM_8769_2,1756,Family,AJ,KO,20 Weeks
101,Bacteroidaceae,X20_AKM_8771_1,1318,Family,AJ,KO,20 Weeks
102,Bacteroidaceae,X20_AKM_8771_2,1484,Family,AJ,KO,20 Weeks
103,Bacteroidaceae,X20_AWF_8736_1,405,Family,AJ,WT,20 Weeks
104,Bacteroidaceae,X20_AWF_8736_2,449,Family,AJ,WT,20 Weeks
105,Bacteroidaceae,X20_AWF_8797_1,449,Family,AJ,WT,20 Weeks
106,Bacteroidaceae,X20_AWF_8797_2,281,Family,AJ,WT,20 Weeks
107,Bacteroidaceae,X20_AWF_9005_1,449,Family,AJ,WT,20 Weeks
108,Bacteroidaceae,X20_AWF_9005_2,573,Family,AJ,WT,20 Weeks
109,Bacteroidaceae,X20_AWM_8728_1,325,Family,AJ,WT,20 Weeks
110,Bacteroidaceae,X20_AWM_8728_2,473,Family,AJ,WT,20 Weeks
111,Bacteroidaceae,X20_AWM_8730_1,359,Family,AJ,WT,20 Weeks
112,Bacteroidaceae,X20_AWM_8730_2,387,Family,AJ,WT,20 Weeks
113,Bacteroidaceae,X20_AWM_8766_1,249,Family,AJ,WT,20 Weeks
114,Bacteroidaceae,X20_AWM_8766_2,256,Family,AJ,WT,20 Weeks
115,Bacteroidaceae,X20_BKF_8726_1,138,Family,B6,KO,20 Weeks
116,Bacteroidaceae,X20_BKF_8726_2,81,Family,B6,KO,20 Weeks
117,Bacteroidaceae,X20_BKF_8926_1,161,Family,B6,KO,20 Weeks
118,Bacteroidaceae,X20_BKF_8926_2,256,Family,B6,KO,20 Weeks
119,Bacteroidaceae,X20_BKF_8927_1,197,Family,B6,KO,20 Weeks
120,Bacteroidaceae,X20_BKF_8927_2,173,Family,B6,KO,20 Weeks
121,Bacteroidaceae,X20_BKM_8719_1,132,Family,B6,KO,20 Weeks
122,Bacteroidaceae,X20_BKM_8719_2,162,Family,B6,KO,20 Weeks
123,Bacteroidaceae,X20_BKM_8859_1,238,Family,B6,KO,20 Weeks
124,Bacteroidaceae,X20_BKM_8859_2,303,Family,B6,KO,20 Weeks
125,Bacteroidaceae,X20_BKM_8860_1,252,Family,B6,KO,20 Weeks
126,Bacteroidaceae,X20_BKM_8860_2,124,Family,B6,KO,20 Weeks
127,Bacteroidaceae,X20_BWF_8754_1,53,Family,B6,WT,20 Weeks
128,Bacteroidaceae,X20_BWF_8754_2,138,Family,B6,WT,20 Weeks
129,Bacteroidaceae,X20_BWF_8755_1,120,Family,B6,WT,20 Weeks
130,Bacteroidaceae,X20_BWF_8755_2,156,Family,B6,WT,20 Weeks
131,Bacteroidaceae,X20_BWF_8852_1,81,Family,B6,WT,20 Weeks
132,Bacteroidaceae,X20_BWF_8852_2,65,Family,B6,WT,20 Weeks
133,Bacteroidaceae,X20_BWM_8745_1,134,Family,B6,WT,20 Weeks
134,Bacteroidaceae,X20_BWM_8745_2,196,Family,B6,WT,20 Weeks
135,Bacteroidaceae,X20_BWM_8747_1,182,Family,B6,WT,20 Weeks
136,Bacteroidaceae,X20_BWM_8747_2,186,Family,B6,WT,20 Weeks
137,Bacteroidaceae,X20_BWM_8847_1,128,Family,B6,WT,20 Weeks
138,Bacteroidaceae,X20_BWM_8847_2,127,Family,B6,WT,20 Weeks
139,Bacteroidaceae,X8_AKF_8733_1,158,Family,AJ,KO,8 Weeks
140,Bacteroidaceae,X8_AKF_8733_2,151,Family,AJ,KO,8 Weeks
141,Bacteroidaceae,X8_AKF_8738_1,327,Family,AJ,KO,8 Weeks
142,Bacteroidaceae,X8_AKF_8738_2,480,Family,AJ,KO,8 Weeks
143,Bacteroidaceae,X8_AKF_8802_1,748,Family,AJ,KO,8 Weeks
144,Bacteroidaceae,X8_AKM_8768_1,1421,Family,AJ,KO,8 Weeks
145,Bacteroidaceae,X8_AKM_8768_2,1809,Family,AJ,KO,8 Weeks
